SALMO,COMPOSITOR,HARMONIZAÇÃO,METRIFICAÇÃO,MODO,MÉTRICA,ORIGEM/MELODIA,TIPO,VÍDEO
119.1-8A,,,,,,,Genebrino,
119.9-16C,,,,,,,+Melodia harmônica,https://youtu.be/0MTqQAGIgSU?si=U2i7mfUakm8bE74r
119.9-16B,,,,,,,Melodia harmônica,
119.9-16A,,,,,,,Genebrino,https://youtu.be/eahnCeYWsgY?si=fvOKT2u4g18TBLj8
119.17-24A,,,,,,,Genebrino,
119.25-32A,,,,,,,Genebrino,https://youtu.be/XzQX4VfOJ3o?si=ndS9-bKcgRfXFesG
119.33-40A,,,,,,,Genebrino,
119.41-48B,,,,,,,Melodia harmônica,https://youtu.be/vT8FK13ph64?si=RIWAWXPjLphhzM6L
119.41-48A,,,,,,,Genebrino,
119.49-56A,,,,,,,Genebrino,
119.65-72B,,,,,,,Melodia harmônica,
119.73-80B,,,,,,,Melodia harmônica,
119.81-88B,,,,,,,Melodia harmônica,
120B,Melodia francesa do século 17,,"Comissão Brasileira de Salmodia, 2024",,8 7. 8 7. 8 7,Picardy,Melodia harmônica,
121B,"John W. Bischoff, 1878",,"Comissão Brasileira de Salmodia, 2007 (rev. 2020)",,7 7. 8 6. 7 6. 8 6,"Come near me, o my savior",Melodia harmônica,
121A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010 (rev. 2022)",Hipomixolídico,8 6. 6 8. 7 7,"Saltério de Genebra, 1551",Genebrino,
122B,"John Hughes, 1907",,"Comissão Brasileira de Salmodia, 2014",,8. 7. 8. 7. 8. 7. 7,CWM Rhondda,Melodia harmônica,https://youtu.be/dx6JHWHwWyg?si=V50-g1IVZLeEtLt_
122A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011",Jônio,8 8 8. 8 8 8. 9 8. 8 9,"Saltério de Genebra, 1551",Genebrino,
123B,"Charles Lockhart, 1769",,"Comissão Brasileira de Salmodia, 2024",,8 9. 11 7,Carlisle,Melodia harmônica,
124B,"Sydney H. Nicholson, 1916",,"Comissão Brasileira de Salmodia, 2022",,10. 11. 10. 11,Crucifer,Melodia harmônica,https://youtu.be/hew5yYjKJe4?si=YohpSDUXsF8XgNHK
124A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011",Hipojônio,10. 10 10. 10 10,"Saltério de Genebra, 1551",Genebrino,https://youtu.be/9dUdFccb4rA?si=X_LpGn56y2E7bT1Y
125B,Melodia tradicional espanhola,,"Comissão Brasileira de Salmodia, 2022 (rev. 2023)",,6 7. 6 7. 6 6. 6 7,Madrid,Melodia harmônica,
125A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011 (rev. 2022)",Dórico,9 6. 6 9. 9 5,"Saltério de Genebra, 1551",Genebrino,
126D,Projeto Sola,,,,,,Moderna,https://www.letras.mus.br/projeto-sola/126/
126B,"William J. Kirkpatrick, 1895",,"Comissão Brasileira de Salmodia, 2013 (rev. 2022)",,11. 11. 11. 11,Cradle song,Melodia harmônica,https://youtu.be/4Ret61cqXKA?si=Ool8zcvE39flRlwV
127B,"Moore's Psalm Singer's Pocket Companion, 1756",,"Comissão Brasileira de Salmodia, 2020",,11. 8. 9. 8,Glasgow,Melodia harmônica,
127A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2021",Hipomixolídico,8 8. 8 8. 8 8,"Saltério de Genebra, 1551",Genebrino,
128B,Melodia tradicional americana,,"Comissão Brasileira de Salmodia, 2010",,8. 7. 8. 7,Nettleton,Melodia harmônica,https://youtu.be/e2FdO4v5rRA?si=aW5mote_6PQ5MXWP
128A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010",Dórico,7 6. 7 6. 7 6. 7 6,"Saltério de Genebra, 1543",Genebrino,https://youtu.be/dCbcKOa5EWM?feature=shared
129B,"Louis Bourgeois, 1551","Lois Schafer, 1972","Comissão Brasileira de Salmodia, 2020",,11. 10. 11. 10,Old 110th,Melodia harmônica,
130D,Projeto Sola,,,,,,Moderna,https://www.letras.mus.br/projeto-sola/130/
130B,"Clement Cotterill Scholefield, 1874",,"Comissão Brasileira de Salmodia, 2023",,9 8. 9 8,St. Clement,Melodia harmônica,
131D,Projeto Sola,,,,,,Moderna,https://www.letras.mus.br/projeto-sola/131/
131B,"S. A. Sterrett Metheny, 1910",,"Comissão Brasileira de Salmodia, 2010",,9. 6. 9. 6,Humility,Melodia harmônica,https://youtu.be/LNlHQiimzgg?feature=shared
132B,"William Penfro Rowlands, 1905",,"Comissão Brasileira de Salmodia, 2024",,9 8. 9 8. 9 8. 9 8,Blaenwern,Melodia harmônica,
